match_weight,match_probability,source_dataset_l,source_dataset_r,uid_l,uid_r,state_l,state_r,gamma_state,city_l,city_r,gamma_city,zip5_l,zip5_r,gamma_zip5,name_l,name_r,gamma_name,address_l,address_r,gamma_address,rank_within_left,match_key,ensemble_score,hybrid_score
20.435998436287218,0.9999992950615924,A,B,A_362,B_362,OR,OR,1.0,ONTARIO,ONTARIO,1.0,97914,97914,1.0,ONTARIO AQUATIC CENTER RENOVATION REBID,ONTARIO AQUATIC CENTER RENOVATION,3.0,,,4.0,1,,1.0,0.9999996475307962
20.13582489404038,0.9999991320147552,A,B,A_193,B_193,ON,ON,1.0,BRIGHTON,BRIGHTON,1.0,0,0,1.0,BRIGHTON WASTEWATER TREATMENT SYSTEM UPGRADES,BRIGHTON WASTEWATER TREATMENT SYSTEM UPGRADES,4.0,,,4.0,1,,1.0,0.9999995660073776
20.13582489404038,0.9999991320147552,A,B,A_168,B_168,WY,WY,1.0,MEETEETSE,MEETEETSE,1.0,82433,82433,1.0,WEST TIMBER AND ROSE CREEKS FISH PASSAGE RESTORATION,WEST TIMBER AND ROSE CREEKS FISH PASSAGE RESTORATION,4.0,,,4.0,1,,1.0,0.9999995660073776
20.13582489404038,0.9999991320147552,A,B,A_634,B_634,ON,ON,1.0,TORONTO,TORONTO,1.0,9,9,1.0,EATONVILLE LIBRARY YOUTH HUB,EATONVILLE LIBRARY YOUTH HUB,4.0,,,4.0,1,,1.0,0.9999995660073776
20.13582489404038,0.9999991320147552,A,B,A_727,B_727,AL,AL,1.0,GADSDEN,GADSDEN,1.0,35901,35901,1.0,DOWNTOWN STREETSCAPE IMPROVEMENTS,DOWNTOWN STREETSCAPE IMPROVEMENTS,4.0,,,4.0,1,,1.0,0.9999995660073776
20.13582489404038,0.9999991320147552,A,B,A_831,B_831,GA,GA,1.0,LAKELAND,LAKELAND,1.0,31635,31635,1.0,LANIER COUNTY HIGH SCHOOL HEADHOUSE & SHELTER,LANIER COUNTY HIGH SCHOOL HEADHOUSE & SHELTER,4.0,,,4.0,1,,1.0,0.9999995660073776
20.13582489404038,0.9999991320147552,A,B,A_951,B_951,MN,MN,1.0,ROSEAU,ROSEAU,1.0,56751,56751,1.0,RUNWAY 16-34 & TAXIWAYS RECONSTRUCTION,RUNWAY 16-34 & TAXIWAYS RECONSTRUCTION,4.0,,,4.0,1,,1.0,0.9999995660073776
19.250131890975883,0.9999983962665641,A,B,A_665,B_665,WY,WY,1.0,UPTON,UPTON,1.0,82730,82730,1.0,WATER & SEWER REPLACEMENT PROJECT,WATER & SEWER REPLACEMENT PROJECT - PHASE 1.1 AND 1.2,2.0,,,4.0,1,,1.0,0.9999991981332821
16.0667646266215,0.9999854314748834,A,B,A_617,B_617,TX,TX,1.0,LEWISVILLE,LEWISVILLE,1.0,75067,75067,1.0,WATER LINE REPLACEMENT,WATER LINE REPLACEMENT - FY 2020 EAST ALEXANDER LANE AND DICKEY DRIVE,1.0,,,4.0,1,,1.0,0.9999927157374418
16.0667646266215,0.9999854314748834,A,B,A_885,B_885,TX,TX,1.0,LEWISVILLE,LEWISVILLE,1.0,75067,75067,1.0,WALMART SUPERCENTER,WALMART SUPERCENTER #263.2 NEW / FRISCO-REBID,1.0,,,4.0,1,,1.0,0.9999927157374418
